FID	IID	Population
BB03	HG01956	ACB
BB10	HG01958	ACB
PEL21	HG01961	PEL
PEL22	HG01965	PEL
PEL023	HG01967	PEL
PEL023	HG01968	PEL
PEL024	HG01970	PEL
PEL024	HG01971	PEL
PEL25	HG01973	PEL
PEL25	HG01974	PEL
PEL26	HG01976	PEL
PEL26	HG01977	PEL
PEL27	HG01979	PEL
PEL27	HG01980	PEL
PEL28	HG01982	PEL
BB08	HG01985	ACB
BB10	HG01986	ACB
BB11	HG01988	ACB
BB11	HG01989	ACB
BB12	HG01990	ACB
PEL29	HG01991	PEL
PEL29	HG01992	PEL
PEL31	HG01997	PEL
PEL33	HG02002	PEL
PEL33	HG02003	PEL
PEL34	HG02006	PEL
PEL31	HG02008	PEL
BB13	HG02009	ACB
BB13	HG02010	ACB
BB12	HG02012	ACB
BB07	HG02013	ACB
BB04	HG02014	ACB
VN046	HG02016	KHV
VN046	HG02017	KHV
VN047	HG02019	KHV
VN047	HG02020	KHV
VN048	HG02023	KHV
VN049	HG02025	KHV
VN049	HG02026	KHV
VN050	HG02028	KHV
VN050	HG02029	KHV
VN051	HG02031	KHV
VN051	HG02032	KHV
VN052	HG02035	KHV
VN054	HG02040	KHV
VN056	HG02047	KHV
VN057	HG02048	KHV
VN058	HG02049	KHV
VN059	HG02050	KHV
BB14	HG02051	ACB
BB14	HG02052	ACB
BB15	HG02053	ACB
BB15	HG02054	ACB
VN060	HG02057	KHV
VN060	HG02058	KHV
VN061	HG02060	KHV
VN061	HG02061	KHV
VN062	HG02064	KHV
VN063	HG02067	KHV
VN064	HG02069	KHV
VN064	HG02070	KHV
VN065	HG02072	KHV
VN065	HG02073	KHV
VN066	HG02075	KHV
VN066	HG02076	KHV
VN067	HG02078	KHV
VN067	HG02079	KHV
VN068	HG02081	KHV
VN068	HG02082	KHV
VN069	HG02084	KHV
VN069	HG02085	KHV
VN070	HG02086	KHV
VN071	HG02087	KHV
VN072	HG02088	KHV
PEL35	HG02089	PEL
PEL35	HG02090	PEL
BB16	HG02095	ACB
PEL37	HG02102	PEL
PEL38	HG02104	PEL
PEL38	HG02105	PEL
BB18	HG02107	ACB
BB18	HG02108	ACB
BB19	HG02111	ACB
VN073	HG02113	KHV
VN074	HG02116	KHV
VN076	HG02121	KHV
VN076	HG02122	KHV
VN078	HG02127	KHV
VN078	HG02128	KHV
VN079	HG02130	KHV
VN079	HG02131	KHV
VN080	HG02133	KHV
VN080	HG02134	KHV
VN081	HG02136	KHV
VN081	HG02137	KHV
VN082	HG02138	KHV
VN083	HG02139	KHV
VN084	HG02140	KHV
VN085	HG02141	KHV
VN086	HG02142	KHV
BB20	HG02143	ACB
BB20	HG02144	ACB
PEL39	HG02146	PEL
PEL39	HG02147	PEL
PEL40	HG02150	PEL
HG02151	HG02151	CDX
HG02152	HG02152	CDX
HG02153	HG02153	CDX
HG02154	HG02154	CDX
HG02155	HG02155	CDX
HG02156	HG02156	CDX
HG02164	HG02164	CDX
HG02165	HG02165	CDX
HG02166	HG02166	CDX
HG02178	HG02178	CDX
HG02179	HG02179	CDX
HG02180	HG02180	CDX
HG02181	HG02181	CDX
HG02182	HG02182	CDX
HG02184	HG02184	CDX
HG02185	HG02185	CDX
HG02186	HG02186	CDX
HG02187	HG02187	CDX
HG02188	HG02188	CDX
HG02190	HG02190	CDX
HG02215	HG02215	GBR
IBS055	HG02219	IBS
IBS056	HG02220	IBS
IBS056	HG02221	IBS
IBS057	HG02223	IBS
IBS057	HG02224	IBS
IBS059	HG02230	IBS
IBS059	HG02231	IBS
IBS060	HG02232	IBS
IBS060	HG02233	IBS
IBS061	HG02235	IBS
IBS061	HG02236	IBS
IBS062	HG02238	IBS
IBS062	HG02239	IBS
HG02250	HG02250	CDX
PEL41	HG02252	PEL
PEL41	HG02253	PEL
BB21	HG02255	ACB
BB21	HG02256	ACB
PEL42	HG02259	PEL
PEL42	HG02260	PEL
PEL43	HG02262	PEL
PEL44	HG02265	PEL
PEL44	HG02266	PEL
PEL46	HG02271	PEL
PEL46	HG02272	PEL
PEL47	HG02274	PEL
PEL47	HG02275	PEL
PEL48	HG02277	PEL
PEL48	HG02278	PEL
BB24	HG02281	ACB
BB24	HG02282	ACB
BB25	HG02283	ACB
BB26	HG02284	ACB
PEL49	HG02285	PEL
PEL49	HG02286	PEL
PEL51	HG02291	PEL
PEL51	HG02292	PEL
PEL52	HG02298	PEL
PEL52	HG02299	PEL
PEL53	HG02301	PEL
PEL54	HG02304	PEL
BB23	HG02307	ACB
BB23	HG02308	ACB
BB25	HG02309	ACB
PEL55	HG02312	PEL
BB22	HG02314	ACB
BB22	HG02315	ACB
BB27	HG02317	ACB
BB27	HG02318	ACB
BB28	HG02322	ACB
BB29	HG02323	ACB
BB30	HG02325	ACB
BB33	HG02330	ACB
BB16	HG02332	ACB
BB32	HG02334	ACB
